"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 16:04:26 UTC 2023","Wed Aug 23 16:04:26 UTC 2023","0","","test_calculator","","","","Addition Test",""
"passed","Wed Aug 23 06:50:17 UTC 2023","Wed Aug 23 06:50:17 UTC 2023","0","github-actions.pytest-allure-github-actions","test_calculator","","","","Subtraction Test",""
"passed","Wed Aug 23 16:04:26 UTC 2023","Wed Aug 23 16:04:26 UTC 2023","1","","test_calculator","","","","Subtraction Test",""
"passed","Wed Aug 23 06:50:17 UTC 2023","Wed Aug 23 06:50:17 UTC 2023","0","github-actions.pytest-allure-github-actions","test_calculator","","","","Multiplication Test",""
"passed","Wed Aug 23 16:04:26 UTC 2023","Wed Aug 23 16:04:26 UTC 2023","0","","test_calculator","","","","Division Test",""
"passed","Wed Aug 23 16:04:26 UTC 2023","Wed Aug 23 16:04:26 UTC 2023","1","","test_calculator","","","","Multiplication Test",""
"passed","Wed Aug 23 06:50:17 UTC 2023","Wed Aug 23 06:50:17 UTC 2023","1","github-actions.pytest-allure-github-actions","test_calculator","","","","Addition Test",""
"passed","Wed Aug 23 06:50:17 UTC 2023","Wed Aug 23 06:50:17 UTC 2023","0","github-actions.pytest-allure-github-actions","test_calculator","","","","Division Test",""
